Supplier,Direction,SOC,TempLabel,TempC,DCR_mOhm,,AUTO-GENERATED — do not edit. Fill DCR_<Supplier> tabs; Save As CSV UTF-8 → dcr.csv
CORNEX,Charge,90%,0°C,0,,,
CORNEX,Charge,10%,25°C,25,0.3486,,
CORNEX,Charge,20%,25°C,25,0.3582,,
CORNEX,Charge,30%,25°C,25,0.3502,,
CORNEX,Charge,40%,25°C,25,0.3445,,
CORNEX,Charge,50%,25°C,25,0.3429,,
CORNEX,Charge,60%,25°C,25,0.3715,,
CORNEX,Charge,70%,25°C,25,0.3503,,
CORNEX,Charge,80%,25°C,25,0.3518,,
CORNEX,Charge,90%,25°C,25,0.356,,
CORNEX,Charge,10%,45°C,45,,,
CORNEX,Charge,20%,45°C,45,,,
CORNEX,Charge,30%,45°C,45,,,
CORNEX,Charge,40%,45°C,45,,,
CORNEX,Charge,50%,45°C,45,,,
CORNEX,Charge,60%,45°C,45,,,
CORNEX,Charge,70%,45°C,45,,,
CORNEX,Charge,80%,45°C,45,,,
CORNEX,Charge,90%,45°C,45,,,
Tianneng Energy,Discharge,10%,-20°C,-20,,,
Tianneng Energy,Discharge,20%,-20°C,-20,,,
Tianneng Energy,Discharge,30%,-20°C,-20,,,
Tianneng Energy,Discharge,40%,-20°C,-20,,,
